행정구역,연도,구분,인구수
경기도 안산시 단원구 고잔동,2016,남,10562
경기도 안산시 단원구 고잔동,2016,남+여,20964
경기도 안산시 단원구 고잔동,2016,여,10402
경기도 안산시 단원구 고잔동,2017,남,10461
경기도 안산시 단원구 고잔동,2017,남+여,20883
경기도 안산시 단원구 고잔동,2017,여,10422
경기도 안산시 단원구 고잔동,2018,남,10938
경기도 안산시 단원구 고잔동,2018,남+여,21792
경기도 안산시 단원구 고잔동,2018,여,10854
경기도 안산시 단원구 고잔동,2019,남,11325
경기도 안산시 단원구 고잔동,2019,남+여,22548
경기도 안산시 단원구 고잔동,2019,여,11223
경기도 안산시 단원구 고잔동,2020,남,10956
경기도 안산시 단원구 고잔동,2020,남+여,21940
경기도 안산시 단원구 고잔동,2020,여,10984
경기도 안산시 단원구 고잔동,2021,남,10787
경기도 안산시 단원구 고잔동,2021,남+여,21554
경기도 안산시 단원구 고잔동,2021,여,10767
경기도 안산시 단원구 고잔동,2022,남,10559
경기도 안산시 단원구 고잔동,2022,남+여,21080
경기도 안산시 단원구 고잔동,2022,여,10521
경기도 안산시 단원구 고잔동,2023,남,10135
경기도 안산시 단원구 고잔동,2023,남+여,20396
경기도 안산시 단원구 고잔동,2023,여,10261
경기도 안산시 단원구 고잔동,2024,남,9923
경기도 안산시 단원구 고잔동,2024,남+여,19918
경기도 안산시 단원구 고잔동,2024,여,9995
경기도 안산시 단원구 고잔동,2025,남,9722
경기도 안산시 단원구 고잔동,2025,남+여,19521
경기도 안산시 단원구 고잔동,2025,여,9799
경기도 안산시 단원구 대부동,2016,남,4267
경기도 안산시 단원구 대부동,2016,남+여,8171
경기도 안산시 단원구 대부동,2016,여,3904
경기도 안산시 단원구 대부동,2017,남,4384
경기도 안산시 단원구 대부동,2017,남+여,8370
경기도 안산시 단원구 대부동,2017,여,3986
경기도 안산시 단원구 대부동,2018,남,4482
경기도 안산시 단원구 대부동,2018,남+여,8543
경기도 안산시 단원구 대부동,2018,여,4061
경기도 안산시 단원구 대부동,2019,남,4472
경기도 안산시 단원구 대부동,2019,남+여,8550
경기도 안산시 단원구 대부동,2019,여,4078
경기도 안산시 단원구 대부동,2020,남,4621
경기도 안산시 단원구 대부동,2020,남+여,8800
경기도 안산시 단원구 대부동,2020,여,4179
경기도 안산시 단원구 대부동,2021,남,4756
경기도 안산시 단원구 대부동,2021,남+여,9060
경기도 안산시 단원구 대부동,2021,여,4304
경기도 안산시 단원구 대부동,2022,남,4871
경기도 안산시 단원구 대부동,2022,남+여,9240
경기도 안산시 단원구 대부동,2022,여,4369
경기도 안산시 단원구 대부동,2023,남,4819
경기도 안산시 단원구 대부동,2023,남+여,9205
경기도 안산시 단원구 대부동,2023,여,4386
경기도 안산시 단원구 대부동,2024,남,4720
경기도 안산시 단원구 대부동,2024,남+여,9168
경기도 안산시 단원구 대부동,2024,여,4448
경기도 안산시 단원구 대부동,2025,남,4725
경기도 안산시 단원구 대부동,2025,남+여,9112
경기도 안산시 단원구 대부동,2025,여,4387
경기도 안산시 단원구 백운동,2016,남,3077
경기도 안산시 단원구 백운동,2016,남+여,5847
경기도 안산시 단원구 백운동,2016,여,2770
경기도 안산시 단원구 백운동,2017,남,10088
경기도 안산시 단원구 백운동,2017,남+여,19816
경기도 안산시 단원구 백운동,2017,여,9728
경기도 안산시 단원구 백운동,2018,남,9416
경기도 안산시 단원구 백운동,2018,남+여,18501
경기도 안산시 단원구 백운동,2018,여,9085
경기도 안산시 단원구 백운동,2019,남,9716
경기도 안산시 단원구 백운동,2019,남+여,19098
경기도 안산시 단원구 백운동,2019,여,9382
경기도 안산시 단원구 백운동,2020,남,9379
경기도 안산시 단원구 백운동,2020,남+여,18463
경기도 안산시 단원구 백운동,2020,여,9084
경기도 안산시 단원구 백운동,2021,남,10723
경기도 안산시 단원구 백운동,2021,남+여,21344
경기도 안산시 단원구 백운동,2021,여,10621
경기도 안산시 단원구 백운동,2022,남,10668
경기도 안산시 단원구 백운동,2022,남+여,21241
경기도 안산시 단원구 백운동,2022,여,10573
경기도 안산시 단원구 백운동,2023,남,12166
경기도 안산시 단원구 백운동,2023,남+여,24221
경기도 안산시 단원구 백운동,2023,여,12055
경기도 안산시 단원구 백운동,2024,남,12073
경기도 안산시 단원구 백운동,2024,남+여,24061
경기도 안산시 단원구 백운동,2024,여,11988
경기도 안산시 단원구 백운동,2025,남,11886
경기도 안산시 단원구 백운동,2025,남+여,23751
경기도 안산시 단원구 백운동,2025,여,11865
경기도 안산시 단원구 선부1동,2016,남,6644
경기도 안산시 단원구 선부1동,2016,남+여,12861
경기도 안산시 단원구 선부1동,2016,여,6217
경기도 안산시 단원구 선부1동,2017,남,6000
경기도 안산시 단원구 선부1동,2017,남+여,11639
경기도 안산시 단원구 선부1동,2017,여,5639
경기도 안산시 단원구 선부1동,2018,남,5963
경기도 안산시 단원구 선부1동,2018,남+여,11601
경기도 안산시 단원구 선부1동,2018,여,5638
경기도 안산시 단원구 선부1동,2019,남,5853
경기도 안산시 단원구 선부1동,2019,남+여,11387
경기도 안산시 단원구 선부1동,2019,여,5534
경기도 안산시 단원구 선부1동,2020,남,9100
경기도 안산시 단원구 선부1동,2020,남+여,17747
경기도 안산시 단원구 선부1동,2020,여,8647
경기도 안산시 단원구 선부1동,2021,남,9070
경기도 안산시 단원구 선부1동,2021,남+여,17672
경기도 안산시 단원구 선부1동,2021,여,8602
경기도 안산시 단원구 선부1동,2022,남,8819
경기도 안산시 단원구 선부1동,2022,남+여,17348
경기도 안산시 단원구 선부1동,2022,여,8529
경기도 안산시 단원구 선부1동,2023,남,8695
경기도 안산시 단원구 선부1동,2023,남+여,17072
경기도 안산시 단원구 선부1동,2023,여,8377
경기도 안산시 단원구 선부1동,2024,남,8578
경기도 안산시 단원구 선부1동,2024,남+여,16820
경기도 안산시 단원구 선부1동,2024,여,8242
경기도 안산시 단원구 선부1동,2025,남,8420
경기도 안산시 단원구 선부1동,2025,남+여,16610
경기도 안산시 단원구 선부1동,2025,여,8190
경기도 안산시 단원구 선부2동,2016,남,12211
경기도 안산시 단원구 선부2동,2016,남+여,22633
경기도 안산시 단원구 선부2동,2016,여,10422
경기도 안산시 단원구 선부2동,2017,남,11913
경기도 안산시 단원구 선부2동,2017,남+여,21966
경기도 안산시 단원구 선부2동,2017,여,10053
경기도 안산시 단원구 선부2동,2018,남,10997
경기도 안산시 단원구 선부2동,2018,남+여,20252
경기도 안산시 단원구 선부2동,2018,여,9255
경기도 안산시 단원구 선부2동,2019,남,9999
경기도 안산시 단원구 선부2동,2019,남+여,18387
경기도 안산시 단원구 선부2동,2019,여,8388
경기도 안산시 단원구 선부2동,2020,남,8981
경기도 안산시 단원구 선부2동,2020,남+여,16498
경기도 안산시 단원구 선부2동,2020,여,7517
경기도 안산시 단원구 선부2동,2021,남,8620
경기도 안산시 단원구 선부2동,2021,남+여,15948
경기도 안산시 단원구 선부2동,2021,여,7328
